0,10000
2048,1600
4099,3504
6148,4816
6149,8896
9,7744
10,3608
2062,3496
8877,8232
17,9752
6163,3896
7502,3616
4119,8552
24,7984
8217,9152
2075,576
6172,4144
4127,6832
6178,2544
37,5848
6182,7936
2087,928
4138,968
3079,4520
8236,6320
8238,9328
8541,5840
48,8576
2097,3376
2099,2704
4148,1320
53,3592
6198,6880
6200,8464
9434,2560
2110,7520
4160,6352
6496,4824
2114,2688
7179,8792
7379,4464
2119,2912
4169,8936
74,1816
8269,6984
80,9824
2129,112
4178,9688
9209,1784
9550,1760
2133,7624
8278,4336
7865,7904
2138,4440
4187,7232
4189,9384
4193,2000
7641,4008
6243,536
4200,4232
6670,8568
6250,2320
109,6704
2159,3224
112,3288
4210,6416
9235,1184
5323,7160
5481,2080
120,9336
2783,6600
123,8688
4221,2800
7531,2424
2180,8160
4232,9728
6281,3232
2186,2192
2187,8784
2188,5912
141,40
6287,6672
145,1016
6290,1864
8339,4192
8341,6864
150,7080
152,5664
4915,6016
2202,6712
7194,9088
8350,5712
2757,1840
161,6752
6306,6768
3756,1040
2212,7376
5830,5672
4262,5976
6384,1064
2217,80
171,8352
2223,9576
2225,9200
371,9112
2228,2416
7198,9880
4278,2528
7712,344
2233,3184
2236,8656
6333,5776
8667,8560
2239,4960
8384,2792
9012,3664
2243,5680
5494,5752
4294,5496
199,2936
200,6072
8962,4848
6350,6472
3789,1624
8401,1912
210,4496
2259,3904
2766,9240
8021,8112
6360,8120
6361,2784
6362,8208
378,6128
222,1480
2271,7320
8416,1552
4321,1536
227,3688
8420,9000
229,3144
230,7416
4327,128
4476,6576
236,4424
4334,3384
239,6288
2288,1904
8434,8152
6387,8128
6389,1800
4342,5064
9760,1288
3455,1264
2300,8496
253,4736
4350,8200
8917,1072
257,6392
259,3792
6405,560
6406,1744
2311,3888
4360,5256
9260,6664
7442,3192
268,7952
2318,1472
2320,1808
2321,7944
2322,3640
276,9232
7214,8600
4375,9968
280,5480
2329,1608
4379,7752
6429,6624
2336,2392
4385,3984
7852,6256
5510,2944
295,5032
4395,5760
6444,5024
6447,5512
8398,5528
2353,336
306,7760
4403,2744
6878,5544
310,8512
311,8632
2360,488
9268,5736
315,8024
2364,5800
6197,1224
4416,1592
321,4208
2370,5832
8517,5640
9924,5048
329,1712
4426,8776
331,9464
8524,7192
333,5168
2382,96
2388,392
7566,1792
8536,2144
345,2480
6490,3136
2395,8072
349,712
352,24
353,9912
4450,5080
2404,824
4454,4168
2407,4248
4456,936
2410,3856
9959,1160
4460,8080
365,1128
2416,9288
9960,9984
4466,1008
2419,4632
373,3992
374,8624
2424,552
7572,3800
2426,4664
4475,5432
2428,2128
5866,7728
2431,4288
2433,3600
7787,368
4484,992
9577,9920
2439,8800
6536,6160
5868,1928
4490,3336
4491,6192
4492,1280
4493,9064
4496,424
2450,9792
2451,9696
4500,7008
7019,4352
409,2640
4506,2728
4847,3472
2460,5120
4510,5072
4512,8520
8612,4048
6697,9520
2470,8144
7886,9640
6556,5936
5191,6824
7311,4576
6573,2224
4527,9528
434,328
4531,6784
6582,360
6217,88
2489,2176
2490,4792
7583,144
4540,3040
447,7648
